Äê»¯,¾»Öµ,MDD,Calmar,Äê»¯_raw,MDD_raw,Calmar_raw,²ßÂÔ
48.2%,2024,-35.8%,1.35,0.4821173622844428,-0.3576633099215897,1.3479642694973022,Ö¹Ëð3%
50.5%,2708,-44.6%,1.13,0.5045936556193835,-0.44616740809760047,1.1309514017863944,Ö¹Ëð5%
53.1%,3771,-53.8%,0.99,0.5305667817997255,-0.5382790770260659,0.9856723109711972,Ö¹Ëð8%
52.0%,3281,-52.3%,0.99,0.5195893940844909,-0.5229054944719159,0.9936583179513653,Ö¹Ëð10%
51.4%,3047,-51.5%,1.00,0.5137780461968198,-0.5147595712479797,0.9980932359377402,Ö¹Ëð12%
52.1%,3334,-55.5%,0.94,0.5208347604254193,-0.5553101727947642,0.93791683628658,Ö¹Ëð15%
35.3%,346,-34.5%,1.02,0.3528815502184124,-0.345494812546444,1.021380169553126,Ö¹Ó¯5%
48.3%,2035,-44.8%,1.08,0.48251768102738035,-0.44817001768843034,1.0766398062862577,Ö¹Ó¯10%
52.9%,3691,-54.1%,0.98,0.5288704157948212,-0.540535064456788,0.978420181355507,Ö¹Ó¯15%
59.9%,8747,-55.1%,1.09,0.5985856749108378,-0.551209413748698,1.085949659023311,Ö¹Ó¯20%
61.3%,10443,-59.4%,1.03,0.6132966272230032,-0.5943471617526164,1.0318828231878965,Ö¹Ó¯25%
63.8%,14086,-59.8%,1.07,0.638437746087462,-0.5977969895010093,1.0679842108612425,Ö¹Ó¯30%
46.3%,1582,-36.5%,1.27,0.46334826276185237,-0.36529522517520574,1.2684213502643449,ÒÆ¶¯Ö¹Ëð5%
52.3%,3438,-47.8%,1.09,0.5232579186245108,-0.47789959375067426,1.0949118297378182,ÒÆ¶¯Ö¹Ëð8%
56.2%,5623,-52.1%,1.08,0.5624917949197872,-0.5213904634144897,1.0788302325979122,ÒÆ¶¯Ö¹Ëð10%
56.1%,5546,-52.4%,1.07,0.5613720577946666,-0.5244930390197822,1.0703136477155295,ÒÆ¶¯Ö¹Ëð12%
56.1%,5503,-53.0%,1.06,0.5607562944268474,-0.5300799304885966,1.0578712042728633,ÒÆ¶¯Ö¹Ëð15%
53.5%,3976,-58.9%,0.91,0.5347472194294254,-0.5894123860715238,0.9072548050670504,ÒÆ¶¯Ö¹Ëð20%
43.7%,1111,-42.7%,1.02,0.43688555065356827,-0.4273075708715314,1.0224147205314003,Ö¹Ëð5%+Ö¹Ó¯15%
49.4%,2351,-44.1%,1.12,0.49361978078858937,-0.44093276795288616,1.1194899011028656,Ö¹Ëð5%+Ö¹Ó¯20%
51.1%,2943,-42.0%,1.22,0.5110767929289877,-0.41997768362840493,1.2169141667565055,Ö¹Ëð5%+Ö¹Ó¯25%
46.2%,1550,-50.3%,0.92,0.4618097977389348,-0.5027298329520449,0.9186043227774522,Ö¹Ëð8%+Ö¹Ó¯15%
52.3%,3421,-52.6%,0.99,0.522871141375288,-0.5260400667167622,0.9939758859790799,Ö¹Ëð8%+Ö¹Ó¯20%
54.9%,4732,-51.6%,1.06,0.5486181089698718,-0.515946853380753,1.0633229088907894,Ö¹Ëð8%+Ö¹Ó¯25%
56.8%,6032,-54.0%,1.05,0.568171154982273,-0.5400804604881764,1.0520120547755154,Ö¹Ëð8%+Ö¹Ó¯30%
53.5%,3970,-51.3%,1.04,0.5346244525402353,-0.5126590275058711,1.0428460708889256,Ö¹Ëð10%+Ö¹Ó¯20%
55.6%,5183,-48.2%,1.15,0.5559260002954078,-0.4818572374354826,1.153715161059177,Ö¹Ëð10%+Ö¹Ó¯25%
58.0%,6973,-50.8%,1.14,0.5799668872579262,-0.5077977009279875,1.1421219241403642,Ö¹Ëð10%+Ö¹Ó¯30%
53.1%,3769,-48.9%,1.09,0.5305070468400179,-0.4889172615808076,1.0850650785467029,Ö¹Ëð12%+Ö¹Ó¯20%
55.0%,4826,-51.5%,1.07,0.5502027424838047,-0.5152932031602546,1.067746943117923,Ö¹Ëð12%+Ö¹Ó¯25%
57.4%,6495,-51.9%,1.11,0.5741747515238536,-0.5194153361762517,1.1054251030605313,Ö¹Ëð12%+Ö¹Ó¯30%
57.5%,6558,-52.1%,1.10,0.5749587520719208,-0.5207268966238601,1.104146445669839,Ö¹Ëð12%+Ö¹Ó¯35%
49.2%,2312,-44.1%,1.12,0.49233736717655874,-0.44084092150830034,1.1168141230901787,Ö¹Ëð5%+ÒÆ¶¯8%
52.5%,3507,-47.5%,1.10,0.5248214441879517,-0.4754917254635723,1.1037446417732848,Ö¹Ëð5%+ÒÆ¶¯10%
52.0%,3297,-47.4%,1.10,0.5199657524175743,-0.47435245598974907,1.096159081400036,Ö¹Ëð5%+ÒÆ¶¯12%
55.1%,4883,-53.1%,1.04,0.551132052561409,-0.5307196585961846,1.0384617257616149,Ö¹Ëð8%+ÒÆ¶¯10%
55.0%,4817,-54.6%,1.01,0.550048738332499,-0.5456894507409158,1.0079885868888694,Ö¹Ëð8%+ÒÆ¶¯12%
55.8%,5294,-54.2%,1.03,0.5576322248369106,-0.541871405911414,1.0290859025841883,Ö¹Ëð8%+ÒÆ¶¯15%
55.8%,5296,-53.3%,1.05,0.5576578887739188,-0.533084284321844,1.046097034136611,Ö¹Ëð10%+ÒÆ¶¯12%
56.3%,5667,-52.6%,1.07,0.5631197686885907,-0.5262974413122604,1.0699648610955017,Ö¹Ëð10%+ÒÆ¶¯15%
53.7%,4075,-52.7%,1.02,0.5367064409641682,-0.5270837708398542,1.0182564340939224,Ö¹Ëð10%+ÒÆ¶¯20%
