,交易日期,买入股票代码,买入股票名称,选股下周期涨跌幅,资金曲线,累积净值
0,2006-12-29,sh600552 sh600706 sz000008 sz000545 sz000669 sz002042 ,方兴科技 长安信息 宝利来 吉林制药 领先科技 飞亚股份 ,0.24631351756001107,1.246313517560011,1.246313517560011
1,2007-01-31,sh600552 sh600699 sz000545 sz000711 sz002016 sz002042 ,方兴科技 辽源得亨 吉林制药 天伦置业 威尔科技 飞亚股份 ,0.27252002456054836,1.5859589079756087,1.5859589079756087
2,2007-02-28,sh600444 sh600593 sh600706 sz000008 sz000669 sz002016 ,国通管业 大连圣亚 长安信息 宝利来 领先科技 威尔科技 ,0.2153479690446931,1.9274919377964954,1.9274919377964954
3,2007-03-30,sh600444 sh600513 sh600562 sh600647 sz000639 sz002016 ,国通管业 联环药业 高淳陶瓷 同达创业 金德发展 威尔科技 ,0.26080029933219095,2.430182412134206,2.430182412134206
4,2007-04-30,sh600444 sh600513 sh600593 sz000669 sz000711 sz002034 ,国通管业 联环药业 大连圣亚 领先科技 天伦置业 美欣达 ,0.11631680383942666,2.7128534630604455,2.7128534630604455
5,2007-05-31,sh600444 sh600513 sh600647 sz000639 sz000669 sz002034 ,国通管业 联环药业 同达创业 金德发展 领先科技 美欣达 ,-0.03295734422055918,2.6234450176584265,2.6234450176584265
6,2007-06-29,sh600444 sh600562 sh600593 sh600873 sz000526 sz002034 ,国通管业 高淳陶瓷 大连圣亚 五洲明珠 旭飞投资 美欣达 ,0.24561843309386577,3.2678114722035985,3.2678114722035985
7,2007-07-31,sh600444 sh600455 sh600513 sh600873 sz000639 sz002034 ,国通管业 交大博通 联环药业 五洲明珠 金德发展 美欣达 ,0.15289330307204607,3.7674379620055323,3.7674379620055323
8,2007-08-31,sh600634 sh600873 sz000526 sz000669 sz002020 sz002034 ,海鸟发展 五洲明珠 旭飞投资 领先科技 京新药业 美欣达 ,0.11481708338982055,4.200004200655097,4.200004200655097
9,2007-09-28,sh600455 sh600562 sh600593 sz000526 sz000639 sz002058 ,交大博通 高淳陶瓷 大连圣亚 旭飞投资 金德发展 威尔泰 ,-0.06376689031283345,3.9321829934784835,3.9321829934784835
10,2007-10-31,sh600373 sh600455 sh600513 sh600532 sz000639 sz002058 ,鑫新股份 交大博通 联环药业 华阳科技 金德发展 威尔泰 ,0.028741276102297597,4.045198950578808,4.045198950578808
11,2007-11-30,sh600353 sh600520 sh600551 sh600647 sh600873 sz000669 ,旭光股份 三佳科技 科大创新 同达创业 五洲明珠 领先科技 ,0.20431262270698514,4.871684157543108,4.871684157543108
12,2007-12-28,sh600520 sh600562 sh600566 sh600647 sz000526 sz002034 ,三佳科技 高淳陶瓷 洪城股份 同达创业 旭飞投资 美欣达 ,-0.0442459003697625,4.656132105675505,4.656132105675505
