momentum_short_window,momentum_long_window,trend_window,momentum_threshold,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
10,60,60,0.0,10.7,,10.7,-0.0861,0.9217,10.7,-0.0861,0.9217,10.7,-0.0861,0.9217
15,30,60,0.02,10.62,,10.62,-0.0889,0.9439,10.62,-0.0889,0.9439,10.62,-0.0889,0.9439
15,30,40,0.02,9.75,,9.75,-0.0928,0.9052,9.75,-0.0928,0.9052,9.75,-0.0928,0.9052
15,60,40,0.02,9.41,,9.41,-0.09949999999999999,0.9356,9.41,-0.09949999999999999,0.9356,9.41,-0.09949999999999999,0.9356
15,60,60,0.02,9.13,,9.13,-0.1014,0.9265000000000001,9.13,-0.1014,0.9265000000000001,9.13,-0.1014,0.9265000000000001
15,40,40,0.02,8.66,,8.66,-0.1005,0.8698,8.66,-0.1005,0.8698,8.66,-0.1005,0.8698
15,30,60,0.01,8.41,,8.41,-0.10369999999999999,0.8728,8.41,-0.10369999999999999,0.8728,8.41,-0.10369999999999999,0.8728
15,60,60,0.01,-inf,full_pre_cutoff final_nav=1.3305 < floor=1.3361 (=1.00*default 1.3361),7.26,-0.1175,0.8528,7.26,-0.1175,0.8528,7.26,-0.1175,0.8528
20,30,40,0.0,-inf,full_pre_cutoff final_nav=1.2898 < floor=1.3361 (=1.00*default 1.3361),5.96,-0.1229,0.7326,5.96,-0.1229,0.7326,5.96,-0.1229,0.7326
20,30,30,0.02,-inf,full_pre_cutoff final_nav=1.2947 < floor=1.3361 (=1.00*default 1.3361),6.33,-0.11800000000000001,0.7469,6.33,-0.11800000000000001,0.7469,6.33,-0.11800000000000001,0.7469
20,30,30,0.01,-inf,full_pre_cutoff final_nav=1.2826 < floor=1.3361 (=1.00*default 1.3361),5.64,-0.12619999999999998,0.7117,5.64,-0.12619999999999998,0.7117,5.64,-0.12619999999999998,0.7117
20,30,30,0.0,-inf,full_pre_cutoff final_nav=1.2785 < floor=1.3361 (=1.00*default 1.3361),5.54,-0.1264,0.7001000000000001,5.54,-0.1264,0.7001000000000001,5.54,-0.1264,0.7001000000000001
10,30,30,0.0,-inf,full_pre_cutoff final_nav=1.2576 < floor=1.3361 (=1.00*default 1.3361),7.97,-0.08039999999999999,0.6406000000000001,7.97,-0.08039999999999999,0.6406000000000001,7.97,-0.08039999999999999,0.6406000000000001
15,60,60,0.0,-inf,full_pre_cutoff final_nav=1.3016 < floor=1.3361 (=1.00*default 1.3361),5.61,-0.1367,0.767,5.61,-0.1367,0.767,5.61,-0.1367,0.767
20,30,40,0.02,-inf,full_pre_cutoff final_nav=1.2967 < floor=1.3361 (=1.00*default 1.3361),6.2,-0.12140000000000001,0.7528,6.2,-0.12140000000000001,0.7528,6.2,-0.12140000000000001,0.7528
15,60,40,0.01,-inf,full_pre_cutoff final_nav=1.3316 < floor=1.3361 (=1.00*default 1.3361),7.33,-0.1168,0.8562000000000001,7.33,-0.1168,0.8562000000000001,7.33,-0.1168,0.8562000000000001
