breakout_window,exit_window,trend_window,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
10,5,50,4.917,,9.69,-0.0206,0.1998,2.98,-0.0282,0.08380000000000001,0.49,-0.131,0.0647
15,5,50,4.842,,9.69,-0.0206,0.1998,2.98,-0.0282,0.08380000000000001,0.24,-0.131,0.0315
10,7,50,4.760999999999999,,9.69,-0.0206,0.1998,2.52,-0.0317,0.0799,0.43,-0.134,0.0579
10,10,50,4.760999999999999,,9.69,-0.0206,0.1998,2.52,-0.0317,0.0799,0.43,-0.134,0.0579
15,10,50,4.689,,9.69,-0.0206,0.1998,2.52,-0.0317,0.0799,0.19,-0.13419999999999999,0.025
15,7,50,4.689,,9.69,-0.0206,0.1998,2.52,-0.0317,0.0799,0.19,-0.13419999999999999,0.025
10,5,30,3.5860000000000003,,6.43,-0.027999999999999997,0.1797,2.83,-0.027999999999999997,0.07919999999999999,0.55,-0.1274,0.0704
10,7,30,3.526,,6.43,-0.027999999999999997,0.1797,2.69,-0.0279,0.07519999999999999,0.49,-0.1307,0.0637
10,10,30,3.526,,6.43,-0.027999999999999997,0.1797,2.69,-0.0279,0.07519999999999999,0.49,-0.1307,0.0637
15,5,30,3.511,,6.43,-0.027999999999999997,0.1797,2.83,-0.027999999999999997,0.07919999999999999,0.3,-0.1277,0.0387
15,7,30,3.454,,6.43,-0.027999999999999997,0.1797,2.69,-0.0279,0.07519999999999999,0.25,-0.1307,0.0321
15,10,30,3.454,,6.43,-0.027999999999999997,0.1797,2.69,-0.0279,0.07519999999999999,0.25,-0.1307,0.0321
20,10,80,-inf,full_pre_cutoff final_nav=0.9891 < floor=1.0504 (=1.00*default 1.0504),10.42,-0.0206,0.2145,3.04,-0.0264,0.0801,-0.04,-0.1332,-0.0055000000000000005
25,5,30,-inf,full_pre_cutoff final_nav=0.9910 < floor=1.0504 (=1.00*default 1.0504),6.43,-0.027999999999999997,0.1797,2.01,-0.031200000000000002,0.0625,-0.03,-0.1399,-0.0045000000000000005
25,5,50,-inf,full_pre_cutoff final_nav=0.9992 < floor=1.0504 (=1.00*default 1.0504),9.69,-0.0206,0.1998,2.29,-0.031200000000000002,0.07139999999999999,-0.0,-0.1399,-0.0004
25,5,80,-inf,full_pre_cutoff final_nav=0.9960 < floor=1.0504 (=1.00*default 1.0504),10.42,-0.0206,0.2145,3.01,-0.0258,0.07780000000000001,-0.01,-0.1351,-0.002
25,7,50,-inf,full_pre_cutoff final_nav=0.9866 < floor=1.0504 (=1.00*default 1.0504),9.69,-0.0206,0.1998,1.94,-0.0347,0.0673,-0.05,-0.14300000000000002,-0.0067
25,7,30,-inf,full_pre_cutoff final_nav=0.9785 < floor=1.0504 (=1.00*default 1.0504),6.43,-0.027999999999999997,0.1797,1.69,-0.0347,0.058499999999999996,-0.08,-0.14300000000000002,-0.0108
20,10,30,-inf,full_pre_cutoff final_nav=1.0021 < floor=1.0504 (=1.00*default 1.0504),6.43,-0.027999999999999997,0.1797,2.04,-0.0317,0.0647,0.01,-0.138,0.001
25,7,80,-inf,full_pre_cutoff final_nav=0.9833 < floor=1.0504 (=1.00*default 1.0504),10.42,-0.0206,0.2145,2.52,-0.0294,0.0739,-0.06,-0.1383,-0.0084
25,10,30,-inf,full_pre_cutoff final_nav=0.9785 < floor=1.0504 (=1.00*default 1.0504),6.43,-0.027999999999999997,0.1797,1.69,-0.0347,0.058499999999999996,-0.08,-0.14300000000000002,-0.0108
25,10,50,-inf,full_pre_cutoff final_nav=0.9866 < floor=1.0504 (=1.00*default 1.0504),9.69,-0.0206,0.1998,1.94,-0.0347,0.0673,-0.05,-0.14300000000000002,-0.0067
20,10,50,-inf,full_pre_cutoff final_nav=0.9923 < floor=1.0504 (=1.00*default 1.0504),9.69,-0.0206,0.1998,2.32,-0.0317,0.0736,-0.03,-0.138,-0.0039000000000000003
