fast_window,slow_window,momentum_window,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
15,100,80,0.5080000000000001,,1.12,-0.0741,0.0828,-0.12,-0.0776,-0.0097,0.32,-0.1297,0.0412
15,150,100,0.18300000000000002,,0.51,-0.0739,0.0378,-0.39,-0.0776,-0.030299999999999997,0.32,-0.1291,0.0412
15,125,80,0.18100000000000002,,0.52,-0.0742,0.038900000000000004,-0.38,-0.0776,-0.0297,0.29,-0.1389,0.0407
15,100,100,0.128,,0.41,-0.0742,0.0302,-0.42,-0.0808,-0.0339,0.3,-0.1394,0.042
15,125,100,0.12600000000000003,,0.39,-0.0741,0.0287,-0.42,-0.0814,-0.0345,0.32,-0.13470000000000001,0.042699999999999995
15,150,80,0.10800000000000003,,0.39,-0.0742,0.029300000000000003,-0.42,-0.081,-0.0342,0.26,-0.1449,0.0375
20,150,100,-inf,full_pre_cutoff maxDD=-0.2245 超过阈值 0.2,2.97,-0.0431,0.1278,0.38,-0.06480000000000001,0.024700000000000003,0.16,-0.2245,0.0366
30,150,100,-inf,full_pre_cutoff maxDD=-0.2419 超过阈值 0.2,4.49,-0.051699999999999996,0.2322,0.37,-0.0953,0.035,0.16,-0.2419,0.038
30,150,80,-inf,full_pre_cutoff maxDD=-0.2489 超过阈值 0.2,4.43,-0.0518,0.2296,0.35,-0.098,0.0338,0.15,-0.2489,0.038
30,125,125,-inf,full_pre_cutoff maxDD=-0.2433 超过阈值 0.2,3.88,-0.051699999999999996,0.2006,0.22,-0.0964,0.0216,0.12,-0.2433,0.0302
30,125,100,-inf,full_pre_cutoff maxDD=-0.2312 超过阈值 0.2,4.37,-0.0518,0.2267,0.33,-0.09910000000000001,0.0323,0.16,-0.23120000000000002,0.037599999999999995
30,125,80,-inf,full_pre_cutoff maxDD=-0.2359 超过阈值 0.2,4.54,-0.051699999999999996,0.2347,0.37,-0.096,0.036000000000000004,0.17,-0.2359,0.0401
30,100,125,-inf,full_pre_cutoff maxDD=-0.2566 超过阈值 0.2,3.81,-0.0518,0.1974,0.22,-0.0964,0.0216,0.12,-0.2566,0.0298
30,100,100,-inf,full_pre_cutoff maxDD=-0.2281 超过阈值 0.2,4.41,-0.0518,0.2284,0.34,-0.0984,0.0333,0.16,-0.2281,0.0359
30,100,80,-inf,full_pre_cutoff maxDD=-0.2350 超过阈值 0.2,5.62,-0.051699999999999996,0.29059999999999997,0.62,-0.0953,0.058899999999999994,0.17,-0.235,0.0401
20,150,125,-inf,full_pre_cutoff maxDD=-0.2547 超过阈值 0.2,2.92,-0.0431,0.1258,0.37,-0.06480000000000001,0.023700000000000002,0.11,-0.2547,0.0269
20,125,100,-inf,full_pre_cutoff maxDD=-0.2249 超过阈值 0.2,2.83,-0.0432,0.12240000000000001,0.33,-0.06849999999999999,0.0223,0.16,-0.2249,0.0371
20,150,80,-inf,full_pre_cutoff maxDD=-0.2245 超过阈值 0.2,2.9,-0.0431,0.1251,0.35,-0.0674,0.0235,0.16,-0.2245,0.0352
20,125,125,-inf,full_pre_cutoff maxDD=-0.2396 超过阈值 0.2,2.46,-0.0431,0.10619999999999999,0.22,-0.06860000000000001,0.0149,0.1,-0.2396,0.025
20,125,80,-inf,full_pre_cutoff maxDD=-0.2247 超过阈值 0.2,3.09,-0.0432,0.1335,0.42,-0.06480000000000001,0.027200000000000002,0.17,-0.22469999999999998,0.0371
20,100,125,-inf,full_pre_cutoff maxDD=-0.2314 超过阈值 0.2,2.59,-0.0432,0.1117,0.22,-0.06860000000000001,0.0149,0.12,-0.2314,0.0282
20,100,100,-inf,full_pre_cutoff maxDD=-0.2181 超过阈值 0.2,2.87,-0.0432,0.124,0.34,-0.0679,0.023,0.18,-0.2181,0.038599999999999995
20,100,80,-inf,full_pre_cutoff maxDD=-0.2184 超过阈值 0.2,4.2,-0.0431,0.1812,0.75,-0.06480000000000001,0.0483,0.19,-0.2184,0.0412
15,150,125,-inf,full_pre_cutoff final_nav=1.3788 < floor=1.5412 (=1.00*default 1.5412),0.54,-0.0742,0.039900000000000005,-0.38,-0.0776,-0.029300000000000003,0.17,-0.1567,0.0274
15,125,125,-inf,full_pre_cutoff final_nav=1.4723 < floor=1.5412 (=1.00*default 1.5412),0.33,-0.0741,0.0246,-0.46,-0.0785,-0.0363,0.22,-0.14730000000000001,0.0331
15,100,125,-inf,full_pre_cutoff final_nav=1.4697 < floor=1.5412 (=1.00*default 1.5412),0.39,-0.0741,0.0286,-0.46,-0.0799,-0.0368,0.23,-0.1464,0.033
30,150,125,-inf,full_pre_cutoff maxDD=-0.2652 超过阈值 0.2,4.09,-0.051699999999999996,0.2114,0.27,-0.0953,0.0262,0.13,-0.2652,0.0346
