breakout_window,exit_window,trend_window,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
8,3,60,10.67,,10.67,-0.084,0.8970999999999999,10.67,-0.084,0.8970999999999999,10.67,-0.084,0.8970999999999999
20,3,60,10.67,,10.67,-0.084,0.8970999999999999,10.67,-0.084,0.8970999999999999,10.67,-0.084,0.8970999999999999
15,3,60,10.67,,10.67,-0.084,0.8970999999999999,10.67,-0.084,0.8970999999999999,10.67,-0.084,0.8970999999999999
10,3,60,10.67,,10.67,-0.084,0.8970999999999999,10.67,-0.084,0.8970999999999999,10.67,-0.084,0.8970999999999999
8,3,30,10.15,,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533
10,3,40,10.15,,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533
20,3,40,10.15,,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533
20,3,30,10.15,,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533
15,3,40,10.15,,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533
8,3,40,10.15,,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533
15,3,30,10.15,,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533
10,3,30,10.15,,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533,10.15,-0.08410000000000001,0.8533
10,8,60,4.63,,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657
20,5,60,4.63,,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657
8,5,60,4.63,,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657
15,8,60,4.63,,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657
8,8,60,4.63,,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657
15,5,60,4.63,,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657
10,5,60,4.63,,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657
20,8,60,4.63,,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657,4.63,-0.12210000000000001,0.5657
8,8,30,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
15,5,30,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
15,5,40,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
10,5,30,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
15,8,30,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
15,8,40,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
10,8,30,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
8,8,40,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
8,5,40,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
8,5,30,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
20,5,30,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
20,5,40,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
10,5,40,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
20,8,30,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
20,8,40,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
10,8,40,4.34,,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297,4.34,-0.12210000000000001,0.5297
